,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
10,Trident Hyderabad,"HITEC City, Near Cyber Towers, Hyderabad, Andhra Pradesh, 500 081, India","11 km to city centre
24 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs9,000",Exceptional 9.6,,Hyderabad,12/02/2021,14/02/2021
11,OYO 19460 Hotel Pearl City,"15-5-826 Raj Tower Afzalgunj Rd, Ashok Bazar Gowliguda., Hyderabad, Telangana, 500012, India","2.0 km to city centre
15 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Bathtub,"Rs8,789",,,Hyderabad,12/02/2021,14/02/2021
12,Capital O 65104 Che Sigma Hotel,"107/11 Beside Firdous Cafe, Chinthalkunta. ta., Hyderabad, Hyderabad, Telangana, 500074, India","11 km to city centre
16 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",,"Rs2,627",,,Hyderabad,12/02/2021,14/02/2021
13,OYO 61506 Sai Residency,"Sai Residency Plot no 210 Kalyan nagar, phase-1 vengalarao nagar main road besid, Hyderabad, Telangana, 500038, India","7.1 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",,"Rs2,951",,,Hyderabad,12/02/2021,14/02/2021
14,OYO 61506 Sai Residency,"Sai Residency Plot no 210 Kalyan nagar, phase-1 vengalarao nagar main road besid, Hyderabad, Telangana, 500038, India","7.1 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",,"Rs2,951",,,Hyderabad,12/02/2021,14/02/2021
15,"Vivanta Hyderabad, Begumpet","1 10 147 148 Mayuri Marg, Hyderabad, Andhra Pradesh, 500016, India","6.1 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingPet-friendlyAirport transferSpaGym,"Rs7,100",,,Hyderabad,12/02/2021,14/02/2021
16,Marigold by Greenpark,"7-1-25, Greenlands, Begumpet, Hyderabad, Andhra Pradesh, 500016, India","5.5 km to city centre
21 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferSpaGymRestaurantBar,"Rs7,200",,,Hyderabad,12/02/2021,14/02/2021
17,OYO 23543 Hotel Vaishnavi,"14Near Khindsi Lake Tumsar Road, Hyderabad, 500003, India","6.5 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingBathtub,"Rs4,094",,,Hyderabad,12/02/2021,14/02/2021
18,OYO 63371 R Square Stay,"R Square Stay Metro exit D Beside China, Bazar Bahadurguda LB Nagar a Bazar Bahad, Hyderabad, Telangana, 500074, India","9.9 km to city centre
16 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parking,"Rs5,593",,,Hyderabad,12/02/2021,14/02/2021
19,OYO 17279 Royal Inn Hotel,"539, 100Ft Rd., Mega Hills, Hyderabad, Telangana, 500081, India","10 km to city centre
24 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",,"Rs4,095",,,Hyderabad,12/02/2021,14/02/2021
20,Le Meridien Hyderabad,"Plot No. 132, Miyapur Rd. Gachibowli, Hyderabad, Telangana, 500032, India","13 km to city centre
24 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingSpaGymRestaurantBar,"Rs6,000",,,Hyderabad,12/02/2021,14/02/2021
21,Lemon Tree Hotel Gachibowli Hyderabad,"No 115/1,Financial District Nanakramguda, Serilingampally, Gachibowli, Hyderabad, Andhra Pradesh, 500032, India","15 km to city centre
23 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferBathtubConnecting rooms availableMeeting Facilities,"Rs3,198",,,Hyderabad,12/02/2021,14/02/2021
22,Deccan Comforts,"No. 5-9-19/14, 15 Old Secretariat Road, Green Gates, Saifabad, Hyderabad, Telangana, 500022, India","2.2 km to city centre
18 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",,"Rs1,998",,,Hyderabad,12/02/2021,14/02/2021
23,OYO 65280 New Raghava Guest House,"D/4 Sri Nagar Colony Krishna Nagar, Hyderabad, Telangana, 500033, India","6.1 km to city centre
21 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parking,"Rs5,069",,,Hyderabad,12/02/2021,14/02/2021
24,Taj Krishna,"Rd Number 1, Mada Manzil, Banjara Hills, Telangana, Hyderabad, Andhra Pradesh, 500034, India","3.5 km to city centre
19 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs10,500",,,Hyderabad,12/02/2021,14/02/2021
25,Taj Banjara,"Road No. 1, Banjara Hills, Telangana, Hyderabad, Andhra Pradesh, 500034, India","2.9 km to city centre
18 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferGymRestaurantBar,"Rs7,300",,,Hyderabad,12/02/2021,14/02/2021
26,Taj Banjara,"Road No. 1, Banjara Hills, Telangana, Hyderabad, Andhra Pradesh, 500034, India","2.9 km to city centre
18 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferGymRestaurantBar,"Rs7,300",,,Hyderabad,12/02/2021,14/02/2021
27,Aditya Park-A Sarovar Portico Hotel,"Ameerpet Aditya Enclave, Hyderabad, Andhra Pradesh, 500038, India","5.7 km to city centre
21 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferGymRestaurantBarBathtub,"Rs2,925",,,Hyderabad,12/02/2021,14/02/2021
28,OYO 70733 Hotel Regal,"139 4-5-139 NH 9 Sappu Bagh Apaprtment, Jogani Ramgopalpet t, Jogani, Ramgopalpe, Hyderabad, Telangana, 500003, India","6.4 km to city centre
23 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",,"Rs3,685",,,Hyderabad,12/02/2021,14/02/2021
29,Hotel Gaurishree,"Hall no.8,chittod complex, m.p.nagar,zone-1,bhopal, Hyderabad, 462011, India","2.3 km to city centre
16 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parking,"Rs4,282",,,Hyderabad,12/02/2021,14/02/2021
30,HOTEL THE CONCLAVE,"Gowlidoddi Rd, Hyderabad, Telangana, 500032, India","16 km to city centre
24 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingRestaurant,"Rs4,000",,,Hyderabad,12/02/2021,14/02/2021
31,Welkin Hotel,"1-7-227 to 234 Near Paradise Circle, S.D. Road, Hyderabad, Telangana, 500003, India","6.4 km to city centre
23 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transfer,"Rs3,500",,,Hyderabad,12/02/2021,14/02/2021
32,HMC Hotel,"Gosha Road, MJ Market, Hyderabad, Telangana, 500001, India","1.0 km to city centre
16 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",,"Rs3,998",,,Hyderabad,12/02/2021,14/02/2021
33,FabHotel Yesmark Gachibowli,"Jayabheri Pinevally, Plot # 18, Beside, Gachibowli Police Commissioner Office, Hyderabad, Telangana, 500032, India","11 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parking,"Rs3,160",,,Hyderabad,12/02/2021,14/02/2021
34,Novotel Hyderabad Airport Hotel,"Rajiv Gandhi International Airport, Shamshabad, RR District, Hyderabad, Andhra Pradesh, 500409, India","16 km to city centre
1.5 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingSpaGymRestaurantBar,"Rs10,400",,,Hyderabad,12/02/2021,14/02/2021
35,OYO 63209 Hotel Ram Ratan Grand,"5-29/5 ORR tollgatekishanguda Shamshabad, bad, Hyderabad, Hyderabad, Telangana, 501218, India","18 km to city centre
6.7 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parking,"Rs6,989",,,Hyderabad,12/02/2021,14/02/2021
36,Cannychoice Inn,"Hotel CannyChoice Inn, Plot No 60 & 61,, Green Hamlet, Shilpa Park Rd, Kondapur, Hyderabad, Telangana, 500084, India","14 km to city centre
26 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingRestaurant,"Rs4,000",,,Hyderabad,12/02/2021,14/02/2021
37,Cannychoice Inn,"Hotel CannyChoice Inn, Plot No 60 & 61,, Green Hamlet, Shilpa Park Rd, Kondapur, Hyderabad, Telangana, 500084, India","14 km to city centre
26 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingRestaurant,"Rs4,000",,,Hyderabad,12/02/2021,14/02/2021
38,Capital O 47601 Airport Palace Hotel,"21-58/1/1 Fort grand road Ranga Reddy, Hyderabad, Hyderabad, Telangana, 501218, India","16 km to city centre
6.0 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingKitchen,"Rs5,027",,,Hyderabad,12/02/2021,14/02/2021
39,Golkonda Resorts & Spa,"Gandipet, Sagar Mahal Complex, Hyderabad, Andhra Pradesh, 500075, India","16 km to city centre
21 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs16,200",,,Hyderabad,12/02/2021,14/02/2021
40,OYO 4025 Hotel Meredian Orchid,"11-4-650-15 Lakdi Ka pul, Hyderabad, Telangana, 500004, India","1.6 km to city centre
18 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",,"Rs6,634",,,Hyderabad,12/02/2021,14/02/2021
41,"Red Fox Hotel, HITEC City, Hyderabad","Plot No. 2, HITEC City, Hyderabad, Andhra Pradesh, 500081, India","11 km to city centre
23 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferGymRestaurantBarMeeting Facilities,"Rs3,838",,,Hyderabad,12/02/2021,14/02/2021
42,Hotel Lotus Grand,"9-4-147 to 153, opp.railway station, Gurudwaralane, Rezimental Bazar, Hyderabad, Telangana, 500003, India","7.0 km to city centre
23 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingRestaurant,"Rs4,320",,,Hyderabad,12/02/2021,14/02/2021
43,Aditya Hometel,"Adjacent To Satyam Theatre Balkampet Rd, Ameerpet, Hyderabad, Andhra Pradesh, 500001, India","5.8 km to city centre
21 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferRestaurantMeeting Facilities,"Rs3,308",,,Hyderabad,12/02/2021,14/02/2021
44,THE GRAND PLAZA A BOUTIQUE HOTEL,"5-9-88/A/1, Opp. Assembly Metro Station, Pillar #A1255, Hyderabad, Telangana, 500001, India","1.1 km to city centre
17 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingPet-friendly,"Rs3,800",,,Hyderabad,12/02/2021,14/02/2021
45,ibis Hyderabad Hitech City Hotel,"Plot 3 Techno Enclave, Hitech City Main Road Patrika Nagar, Hyderabad, Telangana, 500081, India","11 km to city centre
24 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingGymRestaurantBarConnecting rooms availableMeeting Facilities,"Rs3,299",,,Hyderabad,12/02/2021,14/02/2021
46,Courtyard by Marriott Hyderabad,"1 3 1024 Lower Tank Bund Road, Hyderabad, Andhra Pradesh, 500001, India","4.7 km to city centre
21 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs6,700",,,Hyderabad,12/02/2021,14/02/2021
47,Best Western Ashoka,"6-1-70, Lakdi-ka-pul, Hyderabad, Andhra Pradesh, 500004, India","1.7 km to city centre
18 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferGymRestaurantBarMeeting Facilities,"Rs5,211",,,Hyderabad,12/02/2021,14/02/2021
48,Best Western Ashoka,"6-1-70, Lakdi-ka-pul, Hyderabad, Andhra Pradesh, 500004, India","1.7 km to city centre
18 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferGymRestaurantBarMeeting Facilities,"Rs5,211",,,Hyderabad,12/02/2021,14/02/2021
49,Mercure Hyderabad KCP Hotel,"6 3 551, Banjara Hills, Somajiguda, Hyderabad, 500082, India","3.4 km to city centre
19 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferGymRestaurantBarInternet access,"Rs6,239",,,Hyderabad,12/02/2021,14/02/2021
50,Hyatt Hyderabad Gachibowli,"Road No. 2, IT Park, Gachibowli, Hyderabad, Andhra Pradesh, 500019, India","14 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingPet-friendlyAirport transferSpaGym,"Rs5,865",,,Hyderabad,12/02/2021,14/02/2021
51,Lemon Tree Hotel Banjara Hills,"6-3-248/1/1/B, Bhaskara Plaza, Road No.1, Banjara Hills, Hyderabad, Telangana, 500034, India","3.1 km to city centre
19 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingGymRestaurantBathtub,"Rs5,278",,,Hyderabad,12/02/2021,14/02/2021
52,Novotel Hyderabad Convention Centre Hotel,"Novotel & HICC Complex, (Adjacent to Hitec City), Hyderabad, Telangana, 500081, India","14 km to city centre
26 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs6,400",,,Hyderabad,12/02/2021,14/02/2021
53,Avasa Hotels,"Plot No. 15, 24, 25 & 26, Survey No.64, Sector-1, Huda Techno Enclave, Hyderabad, Andhra Pradesh, 500081, India","11 km to city centre
24 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs8,200",,,Hyderabad,12/02/2021,14/02/2021
54,OYO 33504 Hotel Ananda Inn,"1415&16 Kukatpally Industrial, EstateOpp. R.S. Brothers Beside KPHB Bus, Hyderabad, Telangana, 500072, India","14 km to city centre
28 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parking,"Rs5,549",,,Hyderabad,12/02/2021,14/02/2021
55,Hill View,"APBH Phase 4, Hyderabad, Telangana, 500032, India","13 km to city centre
24 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parking,"Rs4,180",,,Hyderabad,12/02/2021,14/02/2021
56,Hotel Sri Mayuri,"3-3-54/5 to 9, kachiguda station road, Hyderabad, telangana, 500027, India","2.9 km to city centre
17 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferRestaurant,"Rs4,140",,,Hyderabad,12/02/2021,14/02/2021
57,"ITC Kakatiya, a Luxury Collection Hotel, Hyderabad","6 -3 -1187, Begumpet, Hyderabad, Andhra Pradesh, 500016, India","4.9 km to city centre
21 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingSpaGymRestaurantBar,"Rs8,000",,,Hyderabad,12/02/2021,14/02/2021
58,Restel Studio Flats,"1-65/43/119 & 120, Cyber Hills Society, Madhapur, Hyderabad, Telangana, 500081, India","9.8 km to city centre
23 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingKitchen,"Rs2,430",,,Hyderabad,12/02/2021,14/02/2021
59,Restel Studio Flats,"1-65/43/119 & 120, Cyber Hills Society, Madhapur, Hyderabad, Telangana, 500081, India","9.8 km to city centre
23 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingKitchen,"Rs2,430",,,Hyderabad,12/02/2021,14/02/2021
60,Hyderabad Marriott Hotel & Convention Centre,"Opp Hussain Sagar Lake Tank Bund Rd, Hyderabad, Andhra Pradesh, 500080, India","4.6 km to city centre
21 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingSpaGymRestaurantBar,"Rs7,200",,,Hyderabad,12/02/2021,14/02/2021
61,Prestige service apartment,"Hyderabad, Telangana, India","11 km to city centre
23 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingPet-friendlyInternet access,"Rs7,500",,,Hyderabad,12/02/2021,14/02/2021
62,Daspalla Hyderabad,"Road No. 37, Jubilee Hills, Hyderabad, Andhra Pradesh, 500033, India","8.4 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs8,098",,,Hyderabad,12/02/2021,14/02/2021
63,The Golkonda Hyderabad,"Banjara Hills, Masab Tank, Hyderabad, Andhra Pradesh, 500 028, India","2.1 km to city centre
18 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferGymRestaurantBar,"Rs6,300",,,Hyderabad,12/02/2021,14/02/2021
64,The Manohar Hyderabad,"Begumpet Airport Exit Road, Begumpet, Hyderabad, Andhra Pradesh, 500001, India","6.2 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs4,897",,,Hyderabad,12/02/2021,14/02/2021
65,The Westin Hyderabad Mindspace,"Raheja IT Park, Hitec City, Madhapur, Hyderabad, Telangana, 500081, India","9.9 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs7,800",,,Hyderabad,12/02/2021,14/02/2021
66,Anmol Continental,"5-9-20/A, Saifabad, Khairtabad, Hyderabad, Telangana, 500081, India","1.9 km to city centre
18 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parking,"Rs4,398",,,Hyderabad,12/02/2021,14/02/2021
67,Holiday Inn Express Hyderabad Banjara Hills,"6-3-563/2nd Floor/A, Hyderabad, Telangana, 500082, India","3.7 km to city centre
19 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingGymRestaurant,"Rs3,798",,,Hyderabad,12/02/2021,14/02/2021
68,Hotel Minerva Grand,"8-2-616, Road No 11, Banjara Hills, Hyderabad, Andhra Pradesh, 500034, India","3.6 km to city centre
19 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferGymRestaurantBarMeeting Facilities,"Rs6,264",,,Hyderabad,12/02/2021,14/02/2021
69,Sheraton Hyderabad Hotel,"115/1 Nanakramguda, Financial District, Gachibowli, Hyderabad, TG, 500032, India","14 km to city centre
23 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs5,800",,,Hyderabad,12/02/2021,14/02/2021
70,Sheraton Hyderabad Hotel,"115/1 Nanakramguda, Financial District, Gachibowli, Hyderabad, TG, 500032, India","14 km to city centre
23 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs5,800",,,Hyderabad,12/02/2021,14/02/2021
71,Radisson Hyderabad Hitec City,"Gachibowli, Miyapur Road, Hyderabad, Andhra Pradesh, 500032, India","13 km to city centre
24 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs10,000",,,Hyderabad,12/02/2021,14/02/2021
72,OYO 49253 Raja Residency,"1-5-1&560 Raja Deluxe Complex Street, Number 7 Musheerabad umber 7, Hyderabad, Telangana, 500020, India","4.7 km to city centre
20 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parking,"Rs7,912",,,Hyderabad,12/02/2021,14/02/2021
73,Minerva Grand Kondapur,"Survey No 13, D/no 2-91/4 Kondapur, Adjacent to Silicon Towers, Hyderabad, Andhra Pradesh, 500040, India","13 km to city centre
25 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingGymRestaurantBar,"Rs4,798",,,Hyderabad,12/02/2021,14/02/2021
74,Capital O 72734 Hotel Sri Mayuri,"80 Chappal Bazaar Ward 80 Kachiguda, Greater Municipal Corporation Central Zo, Hyderabad, Telangana, 500027, India","2.8 km to city centre
17 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingKitchen,"Rs6,903",,,Hyderabad,12/02/2021,14/02/2021
75,"ITC Kohenur, a Luxury Collection Hotel, Hyderabad","Plot No.5, Hyderabad Knowledge City, Madhapur, Hyderabad, Telangana, 500081, India","9.8 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferSpaGymRestaurantBar,"Rs13,600",,,Hyderabad,12/02/2021,14/02/2021
76,Hotel Imperial Classic,"1-8-525, RTC X Road, Chikkadpally, Hyderabad, Telangana, 500020, India","3.6 km to city centre
19 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transfer,"Rs3,400",,,Hyderabad,12/02/2021,14/02/2021
77,Fairfield by Marriott Hyderabad Gachibowli,"IT Park, Gachibowli, Hyderabad, Telangana, 500032, India","14 km to city centre
23 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferGymRestaurantBar,"Rs4,400",,,Hyderabad,12/02/2021,14/02/2021
78,Oakwood Residence Kapil Hyderabad,"Sy.no 115/1, Kapil Towers, IT Park, Nanakramguda,Financial District, Hyderabad, Andhra Pradesh, 500032, India","14 km to city centre
23 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingPet-friendlyAirport transferGymRestaurant,"Rs5,040",,,Hyderabad,12/02/2021,14/02/2021
79,CITADEL Hotel By Vinnca,"Airport Road, Opp. METRO Wholesale, Gagan Pahad, Hyderabad, Telangana, 500052, India","12 km to city centre
5.7 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferRestaurantConnecting rooms available,"Rs5,760",,,Hyderabad,12/02/2021,14/02/2021
80,OYO 71431 Hotel Polo,"6-3-1099/1/13 Nishat Bagh Colony Ward, 97 Somajiguda Greater Municipal Corporat, Hyderabad, Telangana, 500082, India","4.0 km to city centre
20 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parking,"Rs10,259",,,Hyderabad,12/02/2021,14/02/2021
81,OYO 71431 Hotel Polo,"6-3-1099/1/13 Nishat Bagh Colony Ward, 97 Somajiguda Greater Municipal Corporat, Hyderabad, Telangana, 500082, India","4.0 km to city centre
20 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parking,"Rs10,259",,,Hyderabad,12/02/2021,14/02/2021
82,OYO 28637 Gokul Grand,"7-1-212/8 Shivbagh Ameerpet, Hyderabad, Telangana, 500016, India","6.1 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingBathtub,"Rs3,934",,,Hyderabad,12/02/2021,14/02/2021
83,OYO 37499 Saba Service Apartments,"22-5-657 Masqathi super market building, Rathkhana St Alijah roadchattherghat, Hyderabad, Telangana, 500002, India","3.4 km to city centre
14 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",,"Rs4,614",,,Hyderabad,12/02/2021,14/02/2021
84,Tabla Pride,"Road Number-1 Banjara Hills, Besides Care Hospital, Hyderabad, Telangana, 500034, India","3.1 km to city centre
19 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingSpaRestaurantBar,"Rs5,278",,,Hyderabad,12/02/2021,14/02/2021
85,Hotel Comfotel,"6-3-248/3/1, Road Number 1, Banjara Hills, Hyderabad, Telangana, 500034, India","3.2 km to city centre
19 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferRestaurantBathtub,"Rs5,500",,,Hyderabad,12/02/2021,14/02/2021
86,Le Meridien Hyderabad,"Plot No. 132, Miyapur Rd. Gachibowli, Hyderabad, Telangana, 500032, India","13 km to city centre
24 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingSpaGymRestaurantBar,"Rs6,000",,,Hyderabad,12/02/2021,14/02/2021
87,OYO 29928 Royal Emirates Banjara,"H No 8-2-231/15/16/17, Nagarjuna Hills Punjagutta, Hyderabad, Telangana, 500082, India","4.6 km to city centre
20 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingBathtub,"Rs3,556",,,Hyderabad,12/02/2021,14/02/2021
88,Gardenia Service Apartments,"540 Venkateshwara Nagar Aurora Colony, Banjara Hills, Hyderabad, Telangana, 500034, India","5.2 km to city centre
20 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parking,"Rs10,259",,,Hyderabad,12/02/2021,14/02/2021
89,"Lemon Tree Premier, HITEC City, Hyderabad","Plot No. 2, Survey No. 64, Hitech City, Madhapur, Hyderabad, Andhra Pradesh, 500081, India","11 km to city centre
23 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs6,102",,,Hyderabad,12/02/2021,14/02/2021
90,Hill View Guest Houses - Begumpet,"H.No.1-8-308/4/2, Rd.no.1, Patigadda, Begumpet, Hyderabad, Telangana, 500003, India","6.0 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingRestaurant,"Rs3,238",,,Hyderabad,12/02/2021,14/02/2021
