,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
10,Himalayan Kothi Kais,"Manjdhari village, Kullu, Himachal Pradesh, 175101, India","23 km to city centre
16 km to Chalal Trek Trail",Free parkingRestaurant,"Rs7,679",,,Kullu,12/02/2021,14/02/2021
11,Royal Mansion,"Royal Mansion, Manikaran Road,Bhunter, Kullu, Himachalpradesh, 175125, India","24 km to city centre
21 km to Chalal Trek Trail",Free parkingRestaurantMeeting Facilities,"Rs90,000",,,Kullu,12/02/2021,14/02/2021
12,Hotel Shobla Royale,"Hotel Shobla Royale Near Dhalpur, Hotel Shobla Royale Near Dhalpu, Kullu, HP, 175101, India","26 km to city centre
20 km to Chalal Trek Trail",Free parkingRestaurantBar,"Rs9,043",,,Kullu,12/02/2021,14/02/2021
13,Pine Wood Inn Tosh,"Village Tosh, PO Kasol, Kullu, Himachal Pradesh, 175105, India","7.6 km to city centre
13 km to Chalal Trek Trail",Free parkingRestaurant,"Rs4,000",,,Kullu,12/02/2021,14/02/2021
14,The Rainbow Inn & Cafe,"New Kasol, Near Bus Stop, Kullu, Himachal Pradesh, 175105, India","6.2 km to city centre
0.4 km to Chalal Trek Trail",Free parkingPet-friendlySpaRestaurantBarBathtub,"Rs6,660",,,Kullu,12/02/2021,14/02/2021
15,"Baragarh Resort and Spa, Centrally Heated Mountain Side Resort, Manali","Village Gurdorh, PO Larenkelo, Naggar Road, Kullu, Himachal Pradesh, 175104, India","24 km to city centre
18 km to Chalal Trek Trail",Free parkingAirport transferConnecting rooms available,"Rs12,666",,,Kullu,12/02/2021,14/02/2021
16,Hotel Sarla Regency,"Hathithan, Kullu, Himachal Pradesh, 175125, India","24 km to city centre
20 km to Chalal Trek Trail",Free parkingAirport transferRestaurantBarConnecting rooms availableMeeting Facilities,"Rs3,600",,,Kullu,12/02/2021,14/02/2021
17,Stonedage Tosh,"Tosh Village, Phati Manikaran, Kullu, Himachal Pradesh, 175105, India","8.4 km to city centre
14 km to Chalal Trek Trail",,"Rs12,100",,,Kullu,12/02/2021,14/02/2021
18,Hukam's Holiday Home,"Situated at VPO Kasol, Tehsil Bhuntar, Kullu, Himachal Pradesh, 175105, India","6.5 km to city centre
0.3 km to Chalal Trek Trail",Free parking,"Rs8,100",,,Kullu,12/02/2021,14/02/2021
19,OYO 7341 Hotel Himalayan Hamlet,"Tikkar Bori Spring, Near Baba Balak Nath Temple,Bhunter Road, Kullu, Himachal Pradesh, 175101, India","26 km to city centre
21 km to Chalal Trek Trail",Free parkingBathtub,"Rs20,048",,,Kullu,12/02/2021,14/02/2021
20,OYO 7341 Hotel Himalayan Hamlet,"Tikkar Bori Spring, Near Baba Balak Nath Temple,Bhunter Road, Kullu, Himachal Pradesh, 175101, India","26 km to city centre
21 km to Chalal Trek Trail",Free parkingBathtub,"Rs20,048",,,Kullu,12/02/2021,14/02/2021
21,goStops Naggar,"goStops, Near Rorich Art Gallery, Kullu, HP, 175130, India","24 km to city centre
18 km to Chalal Trek Trail",Free parking,"Rs3,664",,,Kullu,12/02/2021,14/02/2021
22,The Hosteller Kasol,"The Hosteller, Near Kasol Temple, Old Kasol, Kasol, Kullu, Himachal Pradesh, 175105, India","6.4 km to city centre
0.4 km to Chalal Trek Trail",Free parking,"Rs5,298",,,Kullu,12/02/2021,14/02/2021
23,Nomads Hostel,"Village Chojh, Chojh Bridge Kasol, Manikaran Road, Kullu, Himachal Pradesh, 175105, India","5.5 km to city centre
1.6 km to Chalal Trek Trail",Free parkingPet-friendly,"Rs4,948",,,Kullu,12/02/2021,14/02/2021
24,Highland Choj,"kasol Manikaran road Kullu Himachal, kasol Manikaran road Kullu Himachal, Kullu, HP, 175105, India","5.6 km to city centre
1.5 km to Chalal Trek Trail",Free parking,"Rs2,700",,,Kullu,12/02/2021,14/02/2021
25,Highland Choj,"kasol Manikaran road Kullu Himachal, kasol Manikaran road Kullu Himachal, Kullu, HP, 175105, India","5.6 km to city centre
1.5 km to Chalal Trek Trail",Free parking,"Rs2,700",,,Kullu,12/02/2021,14/02/2021
26,Highland Choj,"kasol Manikaran road Kullu Himachal, kasol Manikaran road Kullu Himachal, Kullu, HP, 175105, India","5.6 km to city centre
1.5 km to Chalal Trek Trail",Free parking,"Rs2,700",,,Kullu,12/02/2021,14/02/2021
27,Hotel Devlok,"Hadimba Road, Manali, Himachal Pradesh, 175131, India","34 km to Kullu
29 km to Chalal Trek Trail",Free parkingAirport transferRestaurantBathtubConnecting rooms available,"Rs9,821",,,Kullu,12/02/2021,14/02/2021
28,Jannat Resort Manali,"Gadherni Road village Brod P.O Kalath, Tehsil, Manali, Himachal Pradesh, 175131, India","31 km to Kullu
25 km to Chalal Trek Trail",Free parkingRestaurant,"Rs4,050",,,Kullu,12/02/2021,14/02/2021
29,The Manali Inn,"Rangree, National Highway-21, Manali, Himachal Pradesh, 175131, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingAirport transferSpaGymRestaurantBar,"Rs6,873",,,Kullu,12/02/2021,14/02/2021
30,Renest River Country Resort Manali,"N-H-21 Rangri,, Manali, Himachal Pradesh, 175131, India","32 km to Kullu
27 km to Chalal Trek Trail",Free parkingGymRestaurantBarConnecting rooms available,"Rs6,964",,,Kullu,12/02/2021,14/02/2021
31,Hotel Mountain Face by Snow City Hotels,"Near Mahindra Show Room Prini, Manali, Himachal Pradesh, 175143, India","31 km to Kullu
26 km to Chalal Trek Trail",Free parkingRestaurant,"Rs3,850",,,Kullu,12/02/2021,14/02/2021
32,Hotel Mountain Face by Snow City Hotels,"Near Mahindra Show Room Prini, Manali, Himachal Pradesh, 175143, India","31 km to Kullu
26 km to Chalal Trek Trail",Free parkingRestaurant,"Rs3,850",,,Kullu,12/02/2021,14/02/2021
33,Capital O 30169 Signature Manaali,"1 Patlikul, Himachal Pradesh, Manali, 175136, India","26 km to Kullu
19 km to Chalal Trek Trail",Free parkingBathtub,"Rs18,878",,,Kullu,12/02/2021,14/02/2021
34,Amar Villa,"Aleo, Left Bank, Near Petrol Pump, Manali, Himachal Pradesh, 175131, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingRestaurant,"Rs100,000",,,Kullu,12/02/2021,14/02/2021
35,Hotel Manali Green,"Naggar Rd, Aleo, Manali, Himachal Pradesh, 175131, India","31 km to Kullu
26 km to Chalal Trek Trail",Free parkingRestaurant,"Rs100,000",,,Kullu,12/02/2021,14/02/2021
36,OYO 26982 The Stay (luxury Chalet),"Nh21, Bhanu Village, Jagatsukh, Manali, Himachal Pradesh, 175143, India","29 km to Kullu
23 km to Chalal Trek Trail",Free parkingRestaurantBathtub,"Rs16,990",,,Kullu,12/02/2021,14/02/2021
37,Tall Trees Resort by OpenSky,"NH-22 Chandigarh Manali Highway, Manali (13 km), Manali, 685612, India","27 km to Kullu
21 km to Chalal Trek Trail",Free parkingRestaurantInternet access,"Rs10,220",,,Kullu,12/02/2021,14/02/2021
38,Tall Trees Resort by OpenSky,"NH-22 Chandigarh Manali Highway, Manali (13 km), Manali, 685612, India","27 km to Kullu
21 km to Chalal Trek Trail",Free parkingRestaurantInternet access,"Rs10,220",,,Kullu,12/02/2021,14/02/2021
39,OYO 12859 Valley View Cottage,"Kanyal Rd, Gadherni Village, Manali, Himachal Pradesh, 175131, India","31 km to Kullu
25 km to Chalal Trek Trail",Free parkingRestaurantBathtub,"Rs22,276",,,Kullu,12/02/2021,14/02/2021
40,The Laurent and Banon Resorts,"Kanyal Rd, Manali, HP, 175131, India","31 km to Kullu
26 km to Chalal Trek Trail",Free parkingAirport transferGymRestaurantBarMeeting Facilities,"Rs7,900",,,Kullu,12/02/2021,14/02/2021
41,Utopia Resorts & Spa,"Near Hadimba Temple, Manali, 175131, India","34 km to Kullu
29 km to Chalal Trek Trail",PoolFree parkingAirport transferSpaRestaurant,"Rs3,500",,,Kullu,12/02/2021,14/02/2021
42,Divine land,"Sainj, Shangarh, Banjar, Himachal Pradesh, 175134, India","27 km to Kullu
31 km to Chalal Trek Trail",Free parkingPet-friendlyAirport transferRestaurantBarMeeting Facilities,"Rs4,998",,,Kullu,12/02/2021,14/02/2021
43,Madpackers Manali,"Apple County Manu Temple Road, VPO Manali, Manali, HP, 175131, India","35 km to Kullu
30 km to Chalal Trek Trail",Restaurant,"Rs40,000",,,Kullu,12/02/2021,14/02/2021
44,OYO 9486 Mahadev Cottage,"Rohtang Highway, Vasisth Road, Manali, 175131, India","35 km to Kullu
30 km to Chalal Trek Trail",Free parkingRestaurant,"Rs4,476",,,Kullu,12/02/2021,14/02/2021
45,Bharhka Countryside Cottage Resorts,"Bharhka Road, Sarsai, Manali, Himachal Pradesh, 175136, India","25 km to Kullu
19 km to Chalal Trek Trail",PoolFree parkingAirport transferRestaurant,"Rs4,148",,,Kullu,12/02/2021,14/02/2021
46,Himalayan Apple Zone Hotel,"Manali, Distt. Kullu (H.P.), Manali, Distt. Kullu (H.P.), Manali, HP, 175103, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingRestaurantKitchen,"Rs4,000",,,Kullu,12/02/2021,14/02/2021
47,Shingar Regency,"Hadimba Road, Manali, Himachal Pradesh, 175131, India","34 km to Kullu
29 km to Chalal Trek Trail",Free parkingRestaurantBathtubConnecting rooms available,"Rs4,824",,,Kullu,12/02/2021,14/02/2021
48,The Himalayan,"Hadimba Road, Kullu Valley, Manali, Himachal Pradesh, 175131, India","34 km to Kullu
29 km to Chalal Trek Trail",PoolFree parkingGymRestaurantBarBathtub,"Rs18,800",,,Kullu,12/02/2021,14/02/2021
49,The Himalayan,"Hadimba Road, Kullu Valley, Manali, Himachal Pradesh, 175131, India","34 km to Kullu
29 km to Chalal Trek Trail",PoolFree parkingGymRestaurantBarBathtub,"Rs18,800",,,Kullu,12/02/2021,14/02/2021
50,Hotel Rock Sea,"opposite BSNL Telephone Exchange, near Mall Road, Manali, Himachal Pradesh, 175131, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingAirport transferRestaurantMeeting Facilities,"Rs2,512",,,Kullu,12/02/2021,14/02/2021
51,Sagar Resort,"Hadimba Road, Sagar Niwas, Manali, Himachal Pradesh, 175121, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingAirport transferSpaGymRestaurantBathtub,"Rs7,333",,,Kullu,12/02/2021,14/02/2021
52,"Larisa Resort, Manali","Naggar- Manali Road, Distt Kullu, Manali, Himachal Pradesh, 175136, India","26 km to Kullu
20 km to Chalal Trek Trail",PoolFree parkingPet-friendlyAirport transferSpaRestaurant,"Rs17,400",,,Kullu,12/02/2021,14/02/2021
53,Manuallaya The Resort Spa in the Himalayas,"Sunny Side Chadiyari, Manali, Himachal Pradesh, 175131, India","34 km to Kullu
29 km to Chalal Trek Trail",PoolFree parkingSpaGymRestaurantBar,"Rs15,200",,,Kullu,12/02/2021,14/02/2021
54,Hotel Maple Retreat,"NH-21, Rangri, Manali, Manali, 175131, India","32 km to Kullu
27 km to Chalal Trek Trail",Free parkingRestaurant,"Rs9,000",,,Kullu,12/02/2021,14/02/2021
55,Janghu Hotel And Restaurant,"Kullu Manali Highway, Rangri, Manali, Himachal Pradesh, 175131, India","32 km to Kullu
26 km to Chalal Trek Trail",Free parkingSpaRestaurant,"Rs11,823",,,Kullu,12/02/2021,14/02/2021
56,"Hill County Resort & Spa, Manali","Kanyal Road, Simsa, Manali, 175131, India","31 km to Kullu
26 km to Chalal Trek Trail",Free parkingSpaRestaurant,"Rs6,000",,,Kullu,12/02/2021,14/02/2021
57,OYO 7579 Roo Cottage,"Before Bang Village, Rohtang Road, Manali, 175131, India","36 km to Kullu
31 km to Chalal Trek Trail",Free parkingPet-friendly,"Rs22,276",,,Kullu,12/02/2021,14/02/2021
58,Pashmina,"Sajjanu Ville, Simsa, Manali, Himachal Pradesh, 175131, India","32 km to Kullu
26 km to Chalal Trek Trail",Free parkingRestaurant,"Rs7,000",,,Kullu,12/02/2021,14/02/2021
59,The Himalayan Wild Retreat,"Village Bhalagram, Post Office Tandi, Kullu, Banjar, Himachal Pradesh, 175123, India","40 km to Kullu
42 km to Chalal Trek Trail",Restaurant,"Rs3,105",,,Kullu,12/02/2021,14/02/2021
60,The Himalayan Wild Retreat,"Village Bhalagram, Post Office Tandi, Kullu, Banjar, Himachal Pradesh, 175123, India","40 km to Kullu
42 km to Chalal Trek Trail",Restaurant,"Rs3,105",,,Kullu,12/02/2021,14/02/2021
61,The Katoch Grand Resort,"VPO- Burwa, Teh- Manali, Manali, HP, 175103, India","38 km to Kullu
33 km to Chalal Trek Trail",Free parkingRestaurant,"Rs8,000",,,Kullu,12/02/2021,14/02/2021
62,Abhilashi residency,"nasogi village, near,khatu shyam temple, Manali, HP, 175131, India","34 km to Kullu
29 km to Chalal Trek Trail",Free parkingRestaurant,"Rs6,000",,,Kullu,12/02/2021,14/02/2021
63,OYO 13232 Red Rose Cottage,"Red Rose Cottage, Kanya Road, Village Simsa, Manali, Himachal Pradesh, 175131, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingRestaurantBathtubKitchen,"Rs22,276",,,Kullu,12/02/2021,14/02/2021
64,Glacier Resorts,"Hadimba Devi Road, Distt. Kullu, Manali, Himachal Pradesh, 17513, India","34 km to Kullu
29 km to Chalal Trek Trail",Free parkingGymRestaurantBathtubMeeting Facilities,"Rs7,852",,,Kullu,12/02/2021,14/02/2021
65,Capital O 27646 Hotel Grand Sm Regency,"1,Mall Rd, Manali, Himachal Pradesh, Manali, Himachal Pradesh, 175131, India","33 km to Kullu
28 km to Chalal Trek Trail",Bathtub,"Rs18,878",,,Kullu,12/02/2021,14/02/2021
66,Hotel Samiru,"OLD MISSION ROAD, THE MALL ROAD MANALI DISTT, Manali, Himachal Pardesh, 175131, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingPet-friendly,"Rs2,400",,,Kullu,12/02/2021,14/02/2021
67,Rockland Inn,"Kanyal Road, Simsa, Gadherni, Manali, Himachal Pradesh, 175131, India","31 km to Kullu
26 km to Chalal Trek Trail",Free parkingRestaurant,"Rs4,400",,,Kullu,12/02/2021,14/02/2021
68,OYO 13586 Hotel Monarch,"Hotel Monarch Residency, Left Bank Aleo, Kullu Naggar - Manali Rd, Aleo, Manali, Himachal Pradesh, 175131, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingRestaurantKitchen,"Rs5,840",,,Kullu,12/02/2021,14/02/2021
69,Hotel Monarch Residency Manali,"Nagar Rd, Manali, HP, 175131, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingRestaurantBathtubInternet access,"Rs2,700",,,Kullu,12/02/2021,14/02/2021
70,Soulful Sojourns,"Naggar Rd, Manali, HP, 175103, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingAirport transferRestaurantBathtub,"Rs7,059",,,Kullu,12/02/2021,14/02/2021
71,Soulful Sojourns,"Naggar Rd, Manali, HP, 175103, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingAirport transferRestaurantBathtub,"Rs7,059",,,Kullu,12/02/2021,14/02/2021
72,"Tara Inn, Manali","Opposite Club House, Old Manali, Manali, Himachal Pradesh, 175131, India","35 km to Kullu
30 km to Chalal Trek Trail",Free parking,"Rs2,400",,,Kullu,12/02/2021,14/02/2021
73,Hotel Natraj Pure Veg,"NH 21, Rangri, Kullu, Manali, 175131, India","32 km to Kullu
27 km to Chalal Trek Trail",Free parkingRestaurantInternet access,"Rs4,800",,,Kullu,12/02/2021,14/02/2021
74,The Anantmaya Resort,"Naggar road, Shuru, Manali, 175131, India","30 km to Kullu
25 km to Chalal Trek Trail",Free parkingAirport transferSpaGymRestaurantBar,"Rs11,700",,,Kullu,12/02/2021,14/02/2021
75,"Comlux Hotel, Manali","Naggar Road, Prini, Manali, Himachal Pradesh, 175131, India","31 km to Kullu
26 km to Chalal Trek Trail",Free parkingAirport transferRestaurant,"Rs4,480",,,Kullu,12/02/2021,14/02/2021
76,Lords Residency,"Left Bank, Naggar Road, Aleo, Manali Distt Kullu Himachal Pradesh, Manali, Himachal Pardesh, 175131, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingRestaurant,"Rs5,000",,,Kullu,12/02/2021,14/02/2021
77,OYO 12735 The Manali Lodge,"The Manali Lodge, Nasogi Near Dps School, Manali, Himachal Pradesh, 175131, India","34 km to Kullu
29 km to Chalal Trek Trail",Free parkingRestaurant,"Rs22,276",,,Kullu,12/02/2021,14/02/2021
78,Gezellig Inn - Vardhan Hills,"Kanyal Road, P.O - Chhiyal, Manali, HP, 175131, India","32 km to Kullu
27 km to Chalal Trek Trail",Free parkingRestaurant,"Rs11,570",,,Kullu,12/02/2021,14/02/2021
79,OYO 9546 Mall Road,"NH-21,Near Volvo Bus Stand, Adjacent to Manali Police Station, Manali, 175131, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingBathtub,"Rs22,276",,,Kullu,12/02/2021,14/02/2021
80,OYO 14409 Satyam Paradise Cottage,"Satyam Paradise, Manali Nagar Rd. Green Tax Barrier, Manali, Himachal Pradesh, 175131, India","30 km to Kullu
25 km to Chalal Trek Trail",Kitchen,"Rs22,276",,,Kullu,12/02/2021,14/02/2021
81,Hayer Regency,"Naggar Rd, Manali, HP, 175103, India","32 km to Kullu
27 km to Chalal Trek Trail",Free parkingRestaurantBar,"Rs20,000",,,Kullu,12/02/2021,14/02/2021
82,Hayer Regency,"Naggar Rd, Manali, HP, 175103, India","32 km to Kullu
27 km to Chalal Trek Trail",Free parkingRestaurantBar,"Rs20,000",,,Kullu,12/02/2021,14/02/2021
83,Armaan Resorts,"Naggar Road, Manali, Himachal Pradesh, 175131, India","30 km to Kullu
25 km to Chalal Trek Trail",Free parkingGymRestaurantBarBathtub,"Rs7,996",,,Kullu,12/02/2021,14/02/2021
84,The Highland Park,"Nehru Kund, Manali, Himachal Pradesh, 175131, India","38 km to Kullu
33 km to Chalal Trek Trail",PoolFree parkingAirport transferGymRestaurantBar,"Rs7,800",,,Kullu,12/02/2021,14/02/2021
85,Ocean Waves Himalayan Paradise,"HIMALAYAN PARADISE SAJJANNU VILE, SIMSA VILLAGE, MANALI,HIMACHAL PRADESH, Manali, 175131, India","31 km to Kullu
26 km to Chalal Trek Trail",Free parkingRestaurantInternet access,"Rs4,305",,,Kullu,12/02/2021,14/02/2021
86,"Broadways Inn - Hotel, Resort & Spa","Hadimba Road, Near Mall Road, Manali, Himachal Pradesh, 175131, India","34 km to Kullu
29 km to Chalal Trek Trail",Free parkingAirport transferSpaRestaurantBarInternet access,"Rs8,125",,,Kullu,12/02/2021,14/02/2021
87,Hotel Shandela,"Near HPSEB, Distt. Kullu, Manali, Himachal Pradesh, 175131, India","33 km to Kullu
29 km to Chalal Trek Trail",Free parkingRestaurant,"Rs3,000",,,Kullu,12/02/2021,14/02/2021
88,The Tranquil Inn,"Shnag Rd, 1 Km Himachal Tourism House, Manali, Himachal Pradesh, 175131, India","35 km to Kullu
30 km to Chalal Trek Trail",Free parkingRestaurant,"Rs5,000",,,Kullu,12/02/2021,14/02/2021
89,Mango Hotels Manali,"Manali, Manali, Manali, Himachal Pradesh, 175131, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingRestaurant,"Rs3,198",,,Kullu,12/02/2021,14/02/2021
90,OYO 11618 Sarthak Regency,"Sarthak Regency, Manali, 175131, India","31 km to Kullu
26 km to Chalal Trek Trail",RestaurantBathtub,"Rs22,276",,,Kullu,12/02/2021,14/02/2021
91,Offbeat Abodes -Tirthan Valley,"Village Bari Ropa, P.O. Gahidhar, Tehsil, Banjar, HP, 175123, India","39 km to Kullu
43 km to Chalal Trek Trail",Free parkingPet-friendlyRestaurant,"Rs16,016",,,Kullu,12/02/2021,14/02/2021
92,Snow Valley Resorts,"Log Hut Area, Manali, Himachal Pradesh, 175131, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingRestaurantBar,"Rs11,000",,,Kullu,12/02/2021,14/02/2021
93,Snow Valley Resorts,"Log Hut Area, Manali, Himachal Pradesh, 175131, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingRestaurantBar,"Rs11,000",,,Kullu,12/02/2021,14/02/2021
94,Keys Lite Apple Nest by Lemon Tree Hotels,"Sajjanu Ville, Rangri Area, Manali, Himachal Pradesh, 175131, India","31 km to Kullu
26 km to Chalal Trek Trail",Free parkingAirport transferRestaurantConnecting rooms available,"Rs4,575",,,Kullu,12/02/2021,14/02/2021
95,Pride De Vivendi Resort Manali.,"Naggar Road, Prini, Manali, Himachal Pradesh, 175131, India","31 km to Kullu
26 km to Chalal Trek Trail",Free parkingPet-friendlyAirport transferGymRestaurantBar,"Rs7,200",,,Kullu,12/02/2021,14/02/2021
96,Gezellig Inn Tree Hill Cottages & Kanyal Villas,"Kanyal Road, Simsa, Chhiyal, Manali, Himachal Pradesh, 175131, India","31 km to Kullu
26 km to Chalal Trek Trail",Free parkingPet-friendly,"Rs6,300",,,Kullu,12/02/2021,14/02/2021
97,Sterling Manali,"Prini Naggar Hwy, Left Bank Road, Prini, Kullu Dist, Manali, Himachal Pradesh, 175131, India","31 km to Kullu
26 km to Chalal Trek Trail",Free parkingAirport transferRestaurantBarMeeting Facilities,"Rs10,300",,,Kullu,12/02/2021,14/02/2021
98,Hotel Marble,"Near Johnson Lodge, Circuit House Road, Manali, Himachal Pradesh 175131, Manali, 175131, India","34 km to Kullu
29 km to Chalal Trek Trail",Free parking,"Rs2,800",,,Kullu,12/02/2021,14/02/2021
99,OYO 7008 Astha Cottage,"Prini Village Road, Near Club Mahindra Humta Road, Manali, Himachal Pradesh, 175131, India","31 km to Kullu
26 km to Chalal Trek Trail",Free parkingBathtub,"Rs22,276",,,Kullu,12/02/2021,14/02/2021
100,Hotel Mountain Orchid,"Club House Road Opp. Leela Huts, Manali, Himachal Pradesh, 175131, India","34 km to Kullu
29 km to Chalal Trek Trail",Free parkingRestaurant,"Rs6,000",,,Kullu,12/02/2021,14/02/2021
101,Hotel Angels Inn,"Naggar Road, New Manali, Distt. Kullu H.P., Manali, Himachal Pradesh, 175131, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingAirport transferRestaurantBathtubConnecting rooms available,"Rs1,500",,,Kullu,12/02/2021,14/02/2021
102,The Orchard Greens Resort and Spa,"Log Huts Area Road, Manali, Himachal Pradesh, 175131, India","34 km to Kullu
29 km to Chalal Trek Trail",Free parkingSpaGymRestaurantBarBathtub,"Rs10,098",,,Kullu,12/02/2021,14/02/2021
103,OYO 27062 Hotel Green View,"185, Near, Gurudwara Rd, Bhajogi, Manali, Himachal Pradesh, 175131, India","34 km to Kullu
29 km to Chalal Trek Trail",Free parkingBathtub,"Rs4,373",,,Kullu,12/02/2021,14/02/2021
104,OYO 27062 Hotel Green View,"185, Near, Gurudwara Rd, Bhajogi, Manali, Himachal Pradesh, 175131, India","34 km to Kullu
29 km to Chalal Trek Trail",Free parkingBathtub,"Rs4,373",,,Kullu,12/02/2021,14/02/2021
105,The Serenity Resort & Spa,"Naggar Highway, Jagatsukh, Near Shamina, Manali, Himachal Pradesh, 175143, India","33 km to Kullu
28 km to Chalal Trek Trail",Free parkingAirport transferSpaRestaurantMeeting Facilities,"Rs14,000",,,Kullu,12/02/2021,14/02/2021
106,Apple Bud Cottages And Hotels,"Kanyal Road, Upper Rangri, Manali, Himachal Pradesh, 175131, India","31 km to Kullu
26 km to Chalal Trek Trail",Free parking,"Rs10,000",,,Kullu,12/02/2021,14/02/2021
107,Heritage Satikva Resorts,"Jhonger, Village Sarsai, Naggar-Manali Highway, Manali, Manali, Himachal Pradesh, 175136, India","25 km to Kullu
19 km to Chalal Trek Trail",Free parkingPet-friendlyAirport transferSpaGymRestaurant,"Rs10,200",,,Kullu,12/02/2021,14/02/2021
108,Mastiff Grand Manali by OTHPL,"Kullu Manali National Highway, District Kullu, Manali, Himachal Pradesh, 175 131, India","30 km to Kullu
24 km to Chalal Trek Trail",Free parkingAirport transferSpaGymRestaurantBar,"Rs7,100",,,Kullu,12/02/2021,14/02/2021
109,Treebo Trend Celebriti Manali,"Old Manali, Near Clubhouse and La Plage Restaurant, Manali, 175131, India","35 km to Kullu
30 km to Chalal Trek Trail",Free parkingRestaurant,"Rs5,670",,,Kullu,12/02/2021,14/02/2021
110,Royal Park Resort,"Naggar Road, Prini, Manali, HP, 175131, India","31 km to Kullu
26 km to Chalal Trek Trail",Free parkingAirport transferSpaGym,"Rs7,255",,,Kullu,12/02/2021,14/02/2021
111,Hotel Amit,"Near Kullu-Manali Airport, Sainik Chowk, Bhuntar, Kullu, Himachal Pradesh, 175125, India","25 km to city centre
21 km to Chalal Trek Trail",Free parkingPet-friendlyRestaurant,"Rs5,600",,,Kullu,12/02/2021,16/02/2021
112,Apple Valley Resort,"on national highway, village Mohal, Kullu, Himachal Pradesh, 175126, India","25 km to city centre
21 km to Chalal Trek Trail",PoolFree parkingAirport transferGymRestaurantBar,"Rs18,540",,,Kullu,12/02/2021,16/02/2021
113,Hotel Royal Palace,"Kasol Manikaran District, Kullu, Himachal Pradesh, 175002, India","6.3 km to city centre
0.4 km to Chalal Trek Trail",Free parkingRestaurant,"Rs16,000",,,Kullu,12/02/2021,16/02/2021
